value,area,urban,gender
42,"Ивановская область","Городское население",Женщины
32,"Ивановская область","Сельское население","Оба пола"
6,"Ивановская область","Сельское население",Мужчины
26,"Ивановская область","Сельское население",Женщины
114,"Калужская область","Городское и сельское население","Оба пола"
41,"Калужская область","Городское и сельское население",Мужчины
73,"Калужская область","Городское и сельское население",Женщины
85,"Калужская область","Городское население","Оба пола"
29,"Калужская область","Городское население",Мужчины
56,"Калужская область","Городское население",Женщины
29,"Калужская область","Сельское население","Оба пола"
12,"Калужская область","Сельское население",Мужчины
17,"Калужская область","Сельское население",Женщины
47,"Костромская область","Городское и сельское население","Оба пола"
18,"Костромская область","Городское и сельское население",Мужчины
29,"Костромская область","Городское и сельское население",Женщины
33,"Костромская область","Городское население","Оба пола"
13,"Костромская область","Городское население",Мужчины
20,"Костромская область","Городское население",Женщины
14,"Костромская область","Сельское население","Оба пола"
5,"Костромская область","Сельское население",Мужчины
9,"Костромская область","Сельское население",Женщины
108,"Курская область","Городское и сельское население","Оба пола"
42,"Курская область","Городское и сельское население",Мужчины
66,"Курская область","Городское и сельское население",Женщины
61,"Курская область","Городское население","Оба пола"
25,"Курская область","Городское население",Мужчины
36,"Курская область","Городское население",Женщины
47,"Курская область","Сельское население","Оба пола"
17,"Курская область","Сельское население",Мужчины
30,"Курская область","Сельское население",Женщины
144,"Липецкая область","Городское и сельское население","Оба пола"
56,"Липецкая область","Городское и сельское население",Мужчины
88,"Липецкая область","Городское и сельское население",Женщины
108,"Липецкая область","Городское население","Оба пола"
39,"Липецкая область","Городское население",Мужчины
69,"Липецкая область","Городское население",Женщины
36,"Липецкая область","Сельское население","Оба пола"
17,"Липецкая область","Сельское население",Мужчины
19,"Липецкая область","Сельское население",Женщины
1007,"Московская область","Городское и сельское население","Оба пола"
458,"Московская область","Городское и сельское население",Мужчины
549,"Московская область","Городское и сельское население",Женщины
757,"Московская область","Городское население","Оба пола"
333,"Московская область","Городское население",Мужчины
424,"Московская область","Городское население",Женщины
250,"Московская область","Сельское население","Оба пола"
125,"Московская область","Сельское население",Мужчины
125,"Московская область","Сельское население",Женщины
92,"Орловская область","Городское и сельское население","Оба пола"
29,"Орловская область","Городское и сельское население",Мужчины
63,"Орловская область","Городское и сельское население",Женщины
58,"Орловская область","Городское население","Оба пола"
19,"Орловская область","Городское население",Мужчины
39,"Орловская область","Городское население",Женщины
34,"Орловская область","Сельское население","Оба пола"
10,"Орловская область","Сельское население",Мужчины
24,"Орловская область","Сельское население",Женщины
169,"Рязанская область","Городское и сельское население","Оба пола"
73,"Рязанская область","Городское и сельское население",Мужчины
96,"Рязанская область","Городское и сельское население",Женщины
112,"Рязанская область","Городское население","Оба пола"
49,"Рязанская область","Городское население",Мужчины
63,"Рязанская область","Городское население",Женщины
57,"Рязанская область","Сельское население","Оба пола"
24,"Рязанская область","Сельское население",Мужчины
33,"Рязанская область","Сельское население",Женщины
75,"Смоленская область","Городское и сельское население","Оба пола"
29,"Смоленская область","Городское и сельское население",Мужчины
46,"Смоленская область","Городское и сельское население",Женщины
56,"Смоленская область","Городское население","Оба пола"
21,"Смоленская область","Городское население",Мужчины
35,"Смоленская область","Городское население",Женщины
19,"Смоленская область","Сельское население","Оба пола"
8,"Смоленская область","Сельское население",Мужчины
11,"Смоленская область","Сельское население",Женщины
76,"Тамбовская область","Городское и сельское население","Оба пола"
23,"Тамбовская область","Городское и сельское население",Мужчины
53,"Тамбовская область","Городское и сельское население",Женщины
46,"Тамбовская область","Городское население","Оба пола"
18,"Тамбовская область","Городское население",Мужчины
28,"Тамбовская область","Городское население",Женщины
30,"Тамбовская область","Сельское население","Оба пола"
5,"Тамбовская область","Сельское население",Мужчины
25,"Тамбовская область","Сельское население",Женщины
117,"Тверская область","Городское и сельское население","Оба пола"
44,"Тверская область","Городское и сельское население",Мужчины
73,"Тверская область","Городское и сельское население",Женщины
92,"Тверская область","Городское население","Оба пола"
33,"Тверская область","Городское население",Мужчины
59,"Тверская область","Городское население",Женщины
25,"Тверская область","Сельское население","Оба пола"
11,"Тверская область","Сельское население",Мужчины
14,"Тверская область","Сельское население",Женщины
185,"Тульская область","Городское и сельское население","Оба пола"
70,"Тульская область","Городское и сельское население",Мужчины
115,"Тульская область","Городское и сельское население",Женщины
125,"Тульская область","Городское население","Оба пола"
54,"Тульская область","Городское население",Мужчины
71,"Тульская область","Городское население",Женщины
60,"Тульская область","Сельское население","Оба пола"
16,"Тульская область","Сельское население",Мужчины
44,"Тульская область","Сельское население",Женщины
98,"Ярославская область","Городское и сельское население","Оба пола"
36,"Ярославская область","Городское и сельское население",Мужчины
62,"Ярославская область","Городское и сельское население",Женщины
74,"Ярославская область","Городское население","Оба пола"
24,"Ярославская область","Городское население",Мужчины
50,"Ярославская область","Городское население",Женщины
24,"Ярославская область","Сельское население","Оба пола"
12,"Ярославская область","Сельское население",Мужчины
12,"Ярославская область","Сельское население",Женщины
1801,"Город федерального значения Москва","Городское и сельское население","Оба пола"
841,"Город федерального значения Москва","Городское и сельское население",Мужчины
960,"Город федерального значения Москва","Городское и сельское население",Женщины
1780,"Город федерального значения Москва","Городское население","Оба пола"
830,"Город федерального значения Москва","Городское население",Мужчины
950,"Город федерального значения Москва","Городское население",Женщины
21,"Город федерального значения Москва","Сельское население","Оба пола"
11,"Город федерального значения Москва","Сельское население",Мужчины
10,"Город федерального значения Москва","Сельское население",Женщины
1466,"Северо-Западный федеральный округ","Городское и сельское население","Оба пола"
590,"Северо-Западный федеральный округ","Городское и сельское население",Мужчины
876,"Северо-Западный федеральный округ","Городское и сельское население",Женщины
1256,"Северо-Западный федеральный округ","Городское население","Оба пола"
510,"Северо-Западный федеральный округ","Городское население",Мужчины
746,"Северо-Западный федеральный округ","Городское население",Женщины
210,"Северо-Западный федеральный округ","Сельское население","Оба пола"
80,"Северо-Западный федеральный округ","Сельское население",Мужчины
130,"Северо-Западный федеральный округ","Сельское население",Женщины
38,"Республика Карелия","Городское и сельское население","Оба пола"
15,"Республика Карелия","Городское и сельское население",Мужчины
23,"Республика Карелия","Городское и сельское население",Женщины
30,"Республика Карелия","Городское население","Оба пола"
11,"Республика Карелия","Городское население",Мужчины
19,"Республика Карелия","Городское население",Женщины
8,"Республика Карелия","Сельское население","Оба пола"
4,"Республика Карелия","Сельское население",Мужчины
4,"Республика Карелия","Сельское население",Женщины
81,"Республика Коми","Городское и сельское население","Оба пола"
31,"Республика Коми","Городское и сельское население",Мужчины
50,"Республика Коми","Городское и сельское население",Женщины
50,"Республика Коми","Городское население","Оба пола"
17,"Республика Коми","Городское население",Мужчины
33,"Республика Коми","Городское население",Женщины
31,"Республика Коми","Сельское население","Оба пола"
14,"Республика Коми","Сельское население",Мужчины
17,"Республика Коми","Сельское население",Женщины
97,"Архангельская область","Городское и сельское население","Оба пола"
36,"Архангельская область","Городское и сельское население",Мужчины
61,"Архангельская область","Городское и сельское население",Женщины
87,"Архангельская область","Городское население","Оба пола"
33,"Архангельская область","Городское население",Мужчины
54,"Архангельская область","Городское население",Женщины
10,"Архангельская область","Сельское население","Оба пола"
3,"Архангельская область","Сельское население",Мужчины
7,"Архангельская область","Сельское население",Женщины
4,"Ненецкий автономный округ","Городское и сельское население","Оба пола"
2,"Ненецкий автономный округ","Городское и сельское население",Мужчины
2,"Ненецкий автономный округ","Городское и сельское население",Женщины
3,"Ненецкий автономный округ","Городское население","Оба пола"
2,"Ненецкий автономный округ","Городское население",Мужчины
1,"Ненецкий автономный округ","Городское население",Женщины
1,"Ненецкий автономный округ","Сельское население","Оба пола"
-,"Ненецкий автономный округ","Сельское население",Мужчины
1,"Ненецкий автономный округ","Сельское население",Женщины
123,"Вологодская область","Городское и сельское население","Оба пола"
45,"Вологодская область","Городское и сельское население",Мужчины
78,"Вологодская область","Городское и сельское население",Женщины
107,"Вологодская область","Городское население","Оба пола"
38,"Вологодская область","Городское население",Мужчины
69,"Вологодская область","Городское население",Женщины
16,"Вологодская область","Сельское население","Оба пола"
7,"Вологодская область","Сельское население",Мужчины
9,"Вологодская область","Сельское население",Женщины
114,"Калининградская область","Городское и сельское население","Оба пола"
38,"Калининградская область","Городское и сельское население",Мужчины
76,"Калининградская область","Городское и сельское население",Женщины
70,"Калининградская область","Городское население","Оба пола"
21,"Калининградская область","Городское население",Мужчины
49,"Калининградская область","Городское население",Женщины
44,"Калининградская область","Сельское население","Оба пола"
17,"Калининградская область","Сельское население",Мужчины
27,"Калининградская область","Сельское население",Женщины
159,"Ленинградская область","Городское и сельское население","Оба пола"
70,"Ленинградская область","Городское и сельское население",Мужчины
89,"Ленинградская область","Городское и сельское население",Женщины
127,"Ленинградская область","Городское население","Оба пола"
56,"Ленинградская область","Городское население",Мужчины
71,"Ленинградская область","Городское население",Женщины
32,"Ленинградская область","Сельское население","Оба пола"
14,"Ленинградская область","Сельское население",Мужчины
18,"Ленинградская область","Сельское население",Женщины
47,"Мурманская область","Городское и сельское население","Оба пола"
14,"Мурманская область","Городское и сельское население",Мужчины
33,"Мурманская область","Городское и сельское население",Женщины
35,"Мурманская область","Городское население","Оба пола"
11,"Мурманская область","Городское население",Мужчины
24,"Мурманская область","Городское население",Женщины
12,"Мурманская область","Сельское население","Оба пола"
3,"Мурманская область","Сельское население",Мужчины
9,"Мурманская область","Сельское население",Женщины
126,"Новгородская область","Городское и сельское население","Оба пола"
50,"Новгородская область","Городское и сельское население",Мужчины
76,"Новгородская область","Городское и сельское население",Женщины
79,"Новгородская область","Городское население","Оба пола"
37,"Новгородская область","Городское население",Мужчины
42,"Новгородская область","Городское население",Женщины
47,"Новгородская область","Сельское население","Оба пола"
13,"Новгородская область","Сельское население",Мужчины
34,"Новгородская область","Сельское население",Женщины
63,"Псковская область","Городское и сельское население","Оба пола"
26,"Псковская область","Городское и сельское население",Мужчины
37,"Псковская область","Городское и сельское население",Женщины
53,"Псковская область","Городское население","Оба пола"
21,"Псковская область","Городское население",Мужчины
32,"Псковская область","Городское население",Женщины
10,"Псковская область","Сельское население","Оба пола"
5,"Псковская область","Сельское население",Мужчины
5,"Псковская область","Сельское население",Женщины
618,"Город федерального значения Санкт-Петербург","Городское и сельское население","Оба пола"
265,"Город федерального значения Санкт-Петербург","Городское и сельское население",Мужчины
353,"Город федерального значения Санкт-Петербург","Городское и сельское население",Женщины
1287,"Южный федеральный округ","Городское и сельское население","Оба пола"
549,"Южный федеральный округ","Городское и сельское население",Мужчины
738,"Южный федеральный округ","Городское и сельское население",Женщины
936,"Южный федеральный округ","Городское население","Оба пола"
392,"Южный федеральный округ","Городское население",Мужчины
544,"Южный федеральный округ","Городское население",Женщины
351,"Южный федеральный округ","Сельское население","Оба пола"
157,"Южный федеральный округ","Сельское население",Мужчины
194,"Южный федеральный округ","Сельское население",Женщины
83,"Республика Адыгея","Городское и сельское население","Оба пола"
42,"Республика Адыгея","Городское и сельское население",Мужчины
41,"Республика Адыгея","Городское и сельское население",Женщины
50,"Республика Адыгея","Городское население","Оба пола"
22,"Республика Адыгея","Городское население",Мужчины
28,"Республика Адыгея","Городское население",Женщины
33,"Республика Адыгея","Сельское население","Оба пола"
20,"Республика Адыгея","Сельское население",Мужчины
13,"Республика Адыгея","Сельское население",Женщины
111,"Республика Калмыкия","Городское и сельское население","Оба пола"
41,"Республика Калмыкия","Городское и сельское население",Мужчины
70,"Республика Калмыкия","Городское и сельское население",Женщины
64,"Республика Калмыкия","Городское население","Оба пола"
22,"Республика Калмыкия","Городское население",Мужчины
42,"Республика Калмыкия","Городское население",Женщины
47,"Республика Калмыкия","Сельское население","Оба пола"
19,"Республика Калмыкия","Сельское население",Мужчины
28,"Республика Калмыкия","Сельское население",Женщины
386,"Краснодарский край","Городское и сельское население","Оба пола"
176,"Краснодарский край","Городское и сельское население",Мужчины
210,"Краснодарский край","Городское и сельское население",Женщины
226,"Краснодарский край","Городское население","Оба пола"
102,"Краснодарский край","Городское население",Мужчины
124,"Краснодарский край","Городское население",Женщины
160,"Краснодарский край","Сельское население","Оба пола"
74,"Краснодарский край","Сельское население",Мужчины
86,"Краснодарский край","Сельское население",Женщины
102,"Астраханская область","Городское и сельское население","Оба пола"
47,"Астраханская область","Городское и сельское население",Мужчины
55,"Астраханская область","Городское и сельское население",Женщины
87,"Астраханская область","Городское население","Оба пола"
41,"Астраханская область","Городское население",Мужчины
46,"Астраханская область","Городское население",Женщины
15,"Астраханская область","Сельское население","Оба пола"
6,"Астраханская область","Сельское население",Мужчины
9,"Астраханская область","Сельское население",Женщины
212,"Волгоградская область","Городское и сельское население","Оба пола"
77,"Волгоградская область","Городское и сельское население",Мужчины
135,"Волгоградская область","Городское и сельское население",Женщины
175,"Волгоградская область","Городское население","Оба пола"
62,"Волгоградская область","Городское население",Мужчины
113,"Волгоградская область","Городское население",Женщины
37,"Волгоградская область","Сельское население","Оба пола"
15,"Волгоградская область","Сельское население",Мужчины
22,"Волгоградская область","Сельское население",Женщины
393,"Ростовская область","Городское и сельское население","Оба пола"
166,"Ростовская область","Городское и сельское население",Мужчины
227,"Ростовская область","Городское и сельское население",Женщины
334,"Ростовская область","Городское население","Оба пола"
143,"Ростовская область","Городское население",Мужчины
191,"Ростовская область","Городское население",Женщины
59,"Ростовская область","Сельское население","Оба пола"
23,"Ростовская область","Сельское население",Мужчины
36,"Ростовская область","Сельское население",Женщины
1676,"Северо-Кавказский федеральный округ","Городское и сельское население","Оба пола"
788,"Северо-Кавказский федеральный округ","Городское и сельское население",Мужчины
888,"Северо-Кавказский федеральный округ","Городское и сельское население",Женщины
1035,"Северо-Кавказский федеральный округ","Городское население","Оба пола"
459,"Северо-Кавказский федеральный округ","Городское население",Мужчины
576,"Северо-Кавказский федеральный округ","Городское население",Женщины
641,"Северо-Кавказский федеральный округ","Сельское население","Оба пола"
329,"Северо-Кавказский федеральный округ","Сельское население",Мужчины
312,"Северо-Кавказский федеральный округ","Сельское население",Женщины
388,"Республика Дагестан","Городское и сельское население","Оба пола"
208,"Республика Дагестан","Городское и сельское население",Мужчины
180,"Республика Дагестан","Городское и сельское население",Женщины
247,"Республика Дагестан","Городское население","Оба пола"
120,"Республика Дагестан","Городское население",Мужчины
127,"Республика Дагестан","Городское население",Женщины
141,"Республика Дагестан","Сельское население","Оба пола"
88,"Республика Дагестан","Сельское население",Мужчины
53,"Республика Дагестан","Сельское население",Женщины
282,"Республика Ингушетия","Городское и сельское население","Оба пола"
129,"Республика Ингушетия","Городское и сельское население",Мужчины
153,"Республика Ингушетия","Городское и сельское население",Женщины
180,"Республика Ингушетия","Городское население","Оба пола"
82,"Республика Ингушетия","Городское население",Мужчины
98,"Республика Ингушетия","Городское население",Женщины
102,"Республика Ингушетия","Сельское население","Оба пола"
47,"Республика Ингушетия","Сельское население",Мужчины
55,"Республика Ингушетия","Сельское население",Женщины
306,"Кабардино-Балкарская Республика","Городское и сельское население","Оба пола"
140,"Кабардино-Балкарская Республика","Городское и сельское население",Мужчины
166,"Кабардино-Балкарская Республика","Городское и сельское население",Женщины
164,"Кабардино-Балкарская Республика","Городское население","Оба пола"
72,"Кабардино-Балкарская Республика","Городское население",Мужчины
92,"Кабардино-Балкарская Республика","Городское население",Женщины
142,"Кабардино-Балкарская Республика","Сельское население","Оба пола"
68,"Кабардино-Балкарская Республика","Сельское население",Мужчины
74,"Кабардино-Балкарская Республика","Сельское население",Женщины
92,"Карачаево-Черкесская Республика","Городское и сельское население","Оба пола"
43,"Карачаево-Черкесская Республика","Городское и сельское население",Мужчины
49,"Карачаево-Черкесская Республика","Городское и сельское население",Женщины
39,"Карачаево-Черкесская Республика","Городское население","Оба пола"
16,"Карачаево-Черкесская Республика","Городское население",Мужчины
23,"Карачаево-Черкесская Республика","Городское население",Женщины
53,"Карачаево-Черкесская Республика","Сельское население","Оба пола"
27,"Карачаево-Черкесская Республика","Сельское население",Мужчины
26,"Карачаево-Черкесская Республика","Сельское население",Женщины
253,"Республика Северная Осетия-Алания","Городское и сельское население","Оба пола"
111,"Республика Северная Осетия-Алания","Городское и сельское население",Мужчины
142,"Республика Северная Осетия-Алания","Городское и сельское население",Женщины
164,"Республика Северная Осетия-Алания","Городское население","Оба пола"
70,"Республика Северная Осетия-Алания","Городское население",Мужчины
94,"Республика Северная Осетия-Алания","Городское население",Женщины
89,"Республика Северная Осетия-Алания","Сельское население","Оба пола"
41,"Республика Северная Осетия-Алания","Сельское население",Мужчины
48,"Республика Северная Осетия-Алания","Сельское население",Женщины
149,"Чеченская Республика","Городское и сельское население","Оба пола"
62,"Чеченская Республика","Городское и сельское население",Мужчины
87,"Чеченская Республика","Городское и сельское население",Женщины
98,"Чеченская Республика","Городское население","Оба пола"
33,"Чеченская Республика","Городское население",Мужчины
65,"Чеченская Республика","Городское население",Женщины
51,"Чеченская Республика","Сельское население","Оба пола"
29,"Чеченская Республика","Сельское население",Мужчины
22,"Чеченская Республика","Сельское население",Женщины
206,"Ставропольский край","Городское и сельское население","Оба пола"
95,"Ставропольский край","Городское и сельское население",Мужчины
111,"Ставропольский край","Городское и сельское население",Женщины
143,"Ставропольский край","Городское население","Оба пола"
66,"Ставропольский край","Городское население",Мужчины
77,"Ставропольский край","Городское население",Женщины
63,"Ставропольский край","Сельское население","Оба пола"
29,"Ставропольский край","Сельское население",Мужчины
34,"Ставропольский край","Сельское население",Женщины
2354,"Приволжский федеральный округ","Городское и сельское население","Оба пола"
903,"Приволжский федеральный округ","Городское и сельское население",Мужчины
1451,"Приволжский федеральный округ","Городское и сельское население",Женщины
1797,"Приволжский федеральный округ","Городское население","Оба пола"
679,"Приволжский федеральный округ","Городское население",Мужчины
1118,"Приволжский федеральный округ","Городское население",Женщины
557,"Приволжский федеральный округ","Сельское население","Оба пола"
224,"Приволжский федеральный округ","Сельское население",Мужчины
333,"Приволжский федеральный округ","Сельское население",Женщины
208,"Республика Башкортостан","Городское и сельское население","Оба пола"
77,"Республика Башкортостан","Городское и сельское население",Мужчины
131,"Республика Башкортостан","Городское и сельское население",Женщины
145,"Республика Башкортостан","Городское население","Оба пола"
50,"Республика Башкортостан","Городское население",Мужчины
95,"Республика Башкортостан","Городское население",Женщины
63,"Республика Башкортостан","Сельское население","Оба пола"
27,"Республика Башкортостан","Сельское население",Мужчины
36,"Республика Башкортостан","Сельское население",Женщины
82,"Республика Марий Эл","Городское и сельское население","Оба пола"
25,"Республика Марий Эл","Городское и сельское население",Мужчины
57,"Республика Марий Эл","Городское и сельское население",Женщины
47,"Республика Марий Эл","Городское население","Оба пола"
17,"Республика Марий Эл","Городское население",Мужчины
30,"Республика Марий Эл","Городское население",Женщины
35,"Республика Марий Эл","Сельское население","Оба пола"
8,"Республика Марий Эл","Сельское население",Мужчины
27,"Республика Марий Эл","Сельское население",Женщины
66,"Республика Мордовия","Городское и сельское население","Оба пола"
30,"Республика Мордовия","Городское и сельское население",Мужчины
36,"Республика Мордовия","Городское и сельское население",Женщины
34,"Республика Мордовия","Городское население","Оба пола"
12,"Республика Мордовия","Городское население",Мужчины
22,"Республика Мордовия","Городское население",Женщины
32,"Республика Мордовия","Сельское население","Оба пола"
18,"Республика Мордовия","Сельское население",Мужчины
14,"Республика Мордовия","Сельское население",Женщины
435,"Республика Татарстан","Городское и сельское население","Оба пола"
167,"Республика Татарстан","Городское и сельское население",Мужчины
268,"Республика Татарстан","Городское и сельское население",Женщины
292,"Республика Татарстан","Городское население","Оба пола"
113,"Республика Татарстан","Городское население",Мужчины
179,"Республика Татарстан","Городское население",Женщины
143,"Республика Татарстан","Сельское население","Оба пола"
54,"Республика Татарстан","Сельское население",Мужчины
89,"Республика Татарстан","Сельское население",Женщины
142,"Удмуртская Республика","Городское и сельское население","Оба пола"
63,"Удмуртская Республика","Городское и сельское население",Мужчины
79,"Удмуртская Республика","Городское и сельское население",Женщины
105,"Удмуртская Республика","Городское население","Оба пола"
47,"Удмуртская Республика","Городское население",Мужчины
58,"Удмуртская Республика","Городское население",Женщины
37,"Удмуртская Республика","Сельское население","Оба пола"
16,"Удмуртская Республика","Сельское население",Мужчины
21,"Удмуртская Республика","Сельское население",Женщины
52,"Чувашская Республика","Городское и сельское население","Оба пола"
28,"Чувашская Республика","Городское и сельское население",Мужчины
24,"Чувашская Республика","Городское и сельское население",Женщины
32,"Чувашская Республика","Городское население","Оба пола"
17,"Чувашская Республика","Городское население",Мужчины
15,"Чувашская Республика","Городское население",Женщины
20,"Чувашская Республика","Сельское население","Оба пола"
11,"Чувашская Республика","Сельское население",Мужчины
9,"Чувашская Республика","Сельское население",Женщины
205,"Пермский край ","Городское и сельское население","Оба пола"
82,"Пермский край ","Городское и сельское население",Мужчины
123,"Пермский край ","Городское и сельское население",Женщины
164,"Пермский край ","Городское население","Оба пола"
64,"Пермский край ","Городское население",Мужчины
100,"Пермский край ","Городское население",Женщины
41,"Пермский край ","Сельское население","Оба пола"
18,"Пермский край ","Сельское население",Мужчины
23,"Пермский край ","Сельское население",Женщины
54,"Кировская область","Городское и сельское население","Оба пола"
19,"Кировская область","Городское и сельское население",Мужчины
35,"Кировская область","Городское и сельское население",Женщины
43,"Кировская область","Городское население","Оба пола"
17,"Кировская область","Городское население",Мужчины
26,"Кировская область","Городское население",Женщины
11,"Кировская область","Сельское население","Оба пола"
2,"Кировская область","Сельское население",Мужчины
9,"Кировская область","Сельское население",Женщины
326,"Нижегородская область","Городское и сельское население","Оба пола"
120,"Нижегородская область","Городское и сельское население",Мужчины
206,"Нижегородская область","Городское и сельское население",Женщины
298,"Нижегородская область","Городское население","Оба пола"
111,"Нижегородская область","Городское население",Мужчины
187,"Нижегородская область","Городское население",Женщины
28,"Нижегородская область","Сельское население","Оба пола"
9,"Нижегородская область","Сельское население",Мужчины
19,"Нижегородская область","Сельское население",Женщины
125,"Оренбургская область","Городское и сельское население","Оба пола"
46,"Оренбургская область","Городское и сельское население",Мужчины
79,"Оренбургская область","Городское и сельское население",Женщины
96,"Оренбургская область","Городское население","Оба пола"
31,"Оренбургская область","Городское население",Мужчины
65,"Оренбургская область","Городское население",Женщины
29,"Оренбургская область","Сельское население","Оба пола"
15,"Оренбургская область","Сельское население",Мужчины
14,"Оренбургская область","Сельское население",Женщины
102,"Пензенская область","Городское и сельское население","Оба пола"
42,"Пензенская область","Городское и сельское население",Мужчины
60,"Пензенская область","Городское и сельское население",Женщины
75,"Пензенская область","Городское население","Оба пола"
31,"Пензенская область","Городское население",Мужчины
44,"Пензенская область","Городское население",Женщины
27,"Пензенская область","Сельское население","Оба пола"
11,"Пензенская область","Сельское население",Мужчины
16,"Пензенская область","Сельское население",Женщины
226,"Самарская область","Городское и сельское население","Оба пола"
79,"Самарская область","Городское и сельское население",Мужчины
147,"Самарская область","Городское и сельское население",Женщины
195,"Самарская область","Городское население","Оба пола"
68,"Самарская область","Городское население",Мужчины
127,"Самарская область","Городское население",Женщины
31,"Самарская область","Сельское население","Оба пола"
11,"Самарская область","Сельское население",Мужчины
20,"Самарская область","Сельское население",Женщины
239,"Саратовская область","Городское и сельское население","Оба пола"
86,"Саратовская область","Городское и сельское население",Мужчины
153,"Саратовская область","Городское и сельское население",Женщины
196,"Саратовская область","Городское население","Оба пола"
68,"Саратовская область","Городское население",Мужчины
128,"Саратовская область","Городское население",Женщины
43,"Саратовская область","Сельское население","Оба пола"
18,"Саратовская область","Сельское население",Мужчины
25,"Саратовская область","Сельское население",Женщины
92,"Ульяновская область","Городское и сельское население","Оба пола"
39,"Ульяновская область","Городское и сельское население",Мужчины
53,"Ульяновская область","Городское и сельское население",Женщины
75,"Ульяновская область","Городское население","Оба пола"
33,"Ульяновская область","Городское население",Мужчины
42,"Ульяновская область","Городское население",Женщины
17,"Ульяновская область","Сельское население","Оба пола"
6,"Ульяновская область","Сельское население",Мужчины
11,"Ульяновская область","Сельское население",Женщины
890,"Уральский федеральный округ","Городское и сельское население","Оба пола"
322,"Уральский федеральный округ","Городское и сельское население",Мужчины
568,"Уральский федеральный округ","Городское и сельское население",Женщины
731,"Уральский федеральный округ","Городское население","Оба пола"
265,"Уральский федеральный округ","Городское население",Мужчины
466,"Уральский федеральный округ","Городское население",Женщины
159,"Уральский федеральный округ","Сельское население","Оба пола"
57,"Уральский федеральный округ","Сельское население",Мужчины
102,"Уральский федеральный округ","Сельское население",Женщины
59,"Курганская область","Городское и сельское население","Оба пола"
26,"Курганская область","Городское и сельское население",Мужчины
33,"Курганская область","Городское и сельское население",Женщины
46,"Курганская область","Городское население","Оба пола"
21,"Курганская область","Городское население",Мужчины
25,"Курганская область","Городское население",Женщины
13,"Курганская область","Сельское население","Оба пола"
5,"Курганская область","Сельское население",Мужчины
8,"Курганская область","Сельское население",Женщины
268,"Свердловская область","Городское и сельское население","Оба пола"
99,"Свердловская область","Городское и сельское население",Мужчины
169,"Свердловская область","Городское и сельское население",Женщины
242,"Свердловская область","Городское население","Оба пола"
93,"Свердловская область","Городское население",Мужчины
149,"Свердловская область","Городское население",Женщины
26,"Свердловская область","Сельское население","Оба пола"
6,"Свердловская область","Сельское население",Мужчины
20,"Свердловская область","Сельское население",Женщины
