value,area,urban,gender
20,"Воронежская область","Сельское население",Мужчины
21,"Воронежская область","Сельское население",Женщины
33,"Ивановская область","Городское и сельское население","Оба пола"
11,"Ивановская область","Городское и сельское население",Мужчины
22,"Ивановская область","Городское и сельское население",Женщины
25,"Ивановская область","Городское население","Оба пола"
7,"Ивановская область","Городское население",Мужчины
18,"Ивановская область","Городское население",Женщины
8,"Ивановская область","Сельское население","Оба пола"
4,"Ивановская область","Сельское население",Мужчины
4,"Ивановская область","Сельское население",Женщины
158,"Калужская область","Городское и сельское население","Оба пола"
65,"Калужская область","Городское и сельское население",Мужчины
93,"Калужская область","Городское и сельское население",Женщины
80,"Калужская область","Городское население","Оба пола"
34,"Калужская область","Городское население",Мужчины
46,"Калужская область","Городское население",Женщины
78,"Калужская область","Сельское население","Оба пола"
31,"Калужская область","Сельское население",Мужчины
47,"Калужская область","Сельское население",Женщины
20,"Костромская область","Городское и сельское население","Оба пола"
7,"Костромская область","Городское и сельское население",Мужчины
13,"Костромская область","Городское и сельское население",Женщины
15,"Костромская область","Городское население","Оба пола"
5,"Костромская область","Городское население",Мужчины
10,"Костромская область","Городское население",Женщины
5,"Костромская область","Сельское население","Оба пола"
2,"Костромская область","Сельское население",Мужчины
3,"Костромская область","Сельское население",Женщины
40,"Курская область","Городское и сельское население","Оба пола"
14,"Курская область","Городское и сельское население",Мужчины
26,"Курская область","Городское и сельское население",Женщины
35,"Курская область","Городское население","Оба пола"
14,"Курская область","Городское население",Мужчины
21,"Курская область","Городское население",Женщины
5,"Курская область","Сельское население","Оба пола"
-,"Курская область","Сельское население",Мужчины
5,"Курская область","Сельское население",Женщины
45,"Липецкая область","Городское и сельское население","Оба пола"
17,"Липецкая область","Городское и сельское население",Мужчины
28,"Липецкая область","Городское и сельское население",Женщины
23,"Липецкая область","Городское население","Оба пола"
7,"Липецкая область","Городское население",Мужчины
16,"Липецкая область","Городское население",Женщины
22,"Липецкая область","Сельское население","Оба пола"
10,"Липецкая область","Сельское население",Мужчины
12,"Липецкая область","Сельское население",Женщины
546,"Московская область","Городское и сельское население","Оба пола"
243,"Московская область","Городское и сельское население",Мужчины
303,"Московская область","Городское и сельское население",Женщины
389,"Московская область","Городское население","Оба пола"
175,"Московская область","Городское население",Мужчины
214,"Московская область","Городское население",Женщины
157,"Московская область","Сельское население","Оба пола"
68,"Московская область","Сельское население",Мужчины
89,"Московская область","Сельское население",Женщины
35,"Орловская область","Городское и сельское население","Оба пола"
18,"Орловская область","Городское и сельское население",Мужчины
17,"Орловская область","Городское и сельское население",Женщины
26,"Орловская область","Городское население","Оба пола"
13,"Орловская область","Городское население",Мужчины
13,"Орловская область","Городское население",Женщины
9,"Орловская область","Сельское население","Оба пола"
5,"Орловская область","Сельское население",Мужчины
4,"Орловская область","Сельское население",Женщины
36,"Рязанская область","Городское и сельское население","Оба пола"
14,"Рязанская область","Городское и сельское население",Мужчины
22,"Рязанская область","Городское и сельское население",Женщины
33,"Рязанская область","Городское население","Оба пола"
13,"Рязанская область","Городское население",Мужчины
20,"Рязанская область","Городское население",Женщины
3,"Рязанская область","Сельское население","Оба пола"
1,"Рязанская область","Сельское население",Мужчины
2,"Рязанская область","Сельское население",Женщины
26,"Смоленская область","Городское и сельское население","Оба пола"
14,"Смоленская область","Городское и сельское население",Мужчины
12,"Смоленская область","Городское и сельское население",Женщины
24,"Смоленская область","Городское население","Оба пола"
12,"Смоленская область","Городское население",Мужчины
12,"Смоленская область","Городское население",Женщины
2,"Смоленская область","Сельское население","Оба пола"
2,"Смоленская область","Сельское население",Мужчины
-,"Смоленская область","Сельское население",Женщины
39,"Тамбовская область","Городское и сельское население","Оба пола"
19,"Тамбовская область","Городское и сельское население",Мужчины
20,"Тамбовская область","Городское и сельское население",Женщины
29,"Тамбовская область","Городское население","Оба пола"
12,"Тамбовская область","Городское население",Мужчины
17,"Тамбовская область","Городское население",Женщины
10,"Тамбовская область","Сельское население","Оба пола"
7,"Тамбовская область","Сельское население",Мужчины
3,"Тамбовская область","Сельское население",Женщины
50,"Тверская область","Городское и сельское население","Оба пола"
28,"Тверская область","Городское и сельское население",Мужчины
22,"Тверская область","Городское и сельское население",Женщины
46,"Тверская область","Городское население","Оба пола"
26,"Тверская область","Городское население",Мужчины
20,"Тверская область","Городское население",Женщины
4,"Тверская область","Сельское население","Оба пола"
2,"Тверская область","Сельское население",Мужчины
2,"Тверская область","Сельское население",Женщины
82,"Тульская область","Городское и сельское население","Оба пола"
30,"Тульская область","Городское и сельское население",Мужчины
52,"Тульская область","Городское и сельское население",Женщины
60,"Тульская область","Городское население","Оба пола"
26,"Тульская область","Городское население",Мужчины
34,"Тульская область","Городское население",Женщины
22,"Тульская область","Сельское население","Оба пола"
4,"Тульская область","Сельское население",Мужчины
18,"Тульская область","Сельское население",Женщины
36,"Ярославская область","Городское и сельское население","Оба пола"
11,"Ярославская область","Городское и сельское население",Мужчины
25,"Ярославская область","Городское и сельское население",Женщины
32,"Ярославская область","Городское население","Оба пола"
10,"Ярославская область","Городское население",Мужчины
22,"Ярославская область","Городское население",Женщины
4,"Ярославская область","Сельское население","Оба пола"
1,"Ярославская область","Сельское население",Мужчины
3,"Ярославская область","Сельское население",Женщины
2026,"Город федерального значения Москва","Городское и сельское население","Оба пола"
969,"Город федерального значения Москва","Городское и сельское население",Мужчины
1057,"Город федерального значения Москва","Городское и сельское население",Женщины
2000,"Город федерального значения Москва","Городское население","Оба пола"
957,"Город федерального значения Москва","Городское население",Мужчины
1043,"Город федерального значения Москва","Городское население",Женщины
26,"Город федерального значения Москва","Сельское население","Оба пола"
12,"Город федерального значения Москва","Сельское население",Мужчины
14,"Город федерального значения Москва","Сельское население",Женщины
1072,"Северо-Западный федеральный округ","Городское и сельское население","Оба пола"
431,"Северо-Западный федеральный округ","Городское и сельское население",Мужчины
641,"Северо-Западный федеральный округ","Городское и сельское население",Женщины
946,"Северо-Западный федеральный округ","Городское население","Оба пола"
381,"Северо-Западный федеральный округ","Городское население",Мужчины
565,"Северо-Западный федеральный округ","Городское население",Женщины
126,"Северо-Западный федеральный округ","Сельское население","Оба пола"
50,"Северо-Западный федеральный округ","Сельское население",Мужчины
76,"Северо-Западный федеральный округ","Сельское население",Женщины
29,"Республика Карелия","Городское и сельское население","Оба пола"
11,"Республика Карелия","Городское и сельское население",Мужчины
18,"Республика Карелия","Городское и сельское население",Женщины
22,"Республика Карелия","Городское население","Оба пола"
7,"Республика Карелия","Городское население",Мужчины
15,"Республика Карелия","Городское население",Женщины
7,"Республика Карелия","Сельское население","Оба пола"
4,"Республика Карелия","Сельское население",Мужчины
3,"Республика Карелия","Сельское население",Женщины
48,"Республика Коми","Городское и сельское население","Оба пола"
21,"Республика Коми","Городское и сельское население",Мужчины
27,"Республика Коми","Городское и сельское население",Женщины
44,"Республика Коми","Городское население","Оба пола"
21,"Республика Коми","Городское население",Мужчины
23,"Республика Коми","Городское население",Женщины
4,"Республика Коми","Сельское население","Оба пола"
-,"Республика Коми","Сельское население",Мужчины
4,"Республика Коми","Сельское население",Женщины
41,"Архангельская область","Городское и сельское население","Оба пола"
14,"Архангельская область","Городское и сельское население",Мужчины
27,"Архангельская область","Городское и сельское население",Женщины
38,"Архангельская область","Городское население","Оба пола"
13,"Архангельская область","Городское население",Мужчины
25,"Архангельская область","Городское население",Женщины
3,"Архангельская область","Сельское население","Оба пола"
1,"Архангельская область","Сельское население",Мужчины
2,"Архангельская область","Сельское население",Женщины
8,"Ненецкий автономный округ","Городское и сельское население","Оба пола"
3,"Ненецкий автономный округ","Городское и сельское население",Мужчины
5,"Ненецкий автономный округ","Городское и сельское население",Женщины
8,"Ненецкий автономный округ","Городское население","Оба пола"
3,"Ненецкий автономный округ","Городское население",Мужчины
5,"Ненецкий автономный округ","Городское население",Женщины
-,"Ненецкий автономный округ","Сельское население","Оба пола"
-,"Ненецкий автономный округ","Сельское население",Мужчины
-,"Ненецкий автономный округ","Сельское население",Женщины
18,"Вологодская область","Городское и сельское население","Оба пола"
-,"Вологодская область","Городское и сельское население",Мужчины
18,"Вологодская область","Городское и сельское население",Женщины
16,"Вологодская область","Городское население","Оба пола"
-,"Вологодская область","Городское население",Мужчины
16,"Вологодская область","Городское население",Женщины
2,"Вологодская область","Сельское население","Оба пола"
-,"Вологодская область","Сельское население",Мужчины
2,"Вологодская область","Сельское население",Женщины
120,"Калининградская область","Городское и сельское население","Оба пола"
51,"Калининградская область","Городское и сельское население",Мужчины
69,"Калининградская область","Городское и сельское население",Женщины
108,"Калининградская область","Городское население","Оба пола"
45,"Калининградская область","Городское население",Мужчины
63,"Калининградская область","Городское население",Женщины
12,"Калининградская область","Сельское население","Оба пола"
6,"Калининградская область","Сельское население",Мужчины
6,"Калининградская область","Сельское население",Женщины
167,"Ленинградская область","Городское и сельское население","Оба пола"
62,"Ленинградская область","Городское и сельское население",Мужчины
105,"Ленинградская область","Городское и сельское население",Женщины
100,"Ленинградская область","Городское население","Оба пола"
33,"Ленинградская область","Городское население",Мужчины
67,"Ленинградская область","Городское население",Женщины
67,"Ленинградская область","Сельское население","Оба пола"
29,"Ленинградская область","Сельское население",Мужчины
38,"Ленинградская область","Сельское население",Женщины
61,"Мурманская область","Городское и сельское население","Оба пола"
20,"Мурманская область","Городское и сельское население",Мужчины
41,"Мурманская область","Городское и сельское население",Женщины
52,"Мурманская область","Городское население","Оба пола"
17,"Мурманская область","Городское население",Мужчины
35,"Мурманская область","Городское население",Женщины
9,"Мурманская область","Сельское население","Оба пола"
3,"Мурманская область","Сельское население",Мужчины
6,"Мурманская область","Сельское население",Женщины
66,"Новгородская область","Городское и сельское население","Оба пола"
19,"Новгородская область","Городское и сельское население",Мужчины
47,"Новгородская область","Городское и сельское население",Женщины
47,"Новгородская область","Городское население","Оба пола"
13,"Новгородская область","Городское население",Мужчины
34,"Новгородская область","Городское население",Женщины
19,"Новгородская область","Сельское население","Оба пола"
6,"Новгородская область","Сельское население",Мужчины
13,"Новгородская область","Сельское население",Женщины
15,"Псковская область","Городское и сельское население","Оба пола"
5,"Псковская область","Городское и сельское население",Мужчины
10,"Псковская область","Городское и сельское население",Женщины
12,"Псковская область","Городское население","Оба пола"
4,"Псковская область","Городское население",Мужчины
8,"Псковская область","Городское население",Женщины
3,"Псковская область","Сельское население","Оба пола"
1,"Псковская область","Сельское население",Мужчины
2,"Псковская область","Сельское население",Женщины
507,"Город федерального значения Санкт-Петербург","Городское и сельское население","Оба пола"
228,"Город федерального значения Санкт-Петербург","Городское и сельское население",Мужчины
279,"Город федерального значения Санкт-Петербург","Городское и сельское население",Женщины
573,"Южный федеральный округ","Городское и сельское население","Оба пола"
223,"Южный федеральный округ","Городское и сельское население",Мужчины
350,"Южный федеральный округ","Городское и сельское население",Женщины
485,"Южный федеральный округ","Городское население","Оба пола"
182,"Южный федеральный округ","Городское население",Мужчины
303,"Южный федеральный округ","Городское население",Женщины
88,"Южный федеральный округ","Сельское население","Оба пола"
41,"Южный федеральный округ","Сельское население",Мужчины
47,"Южный федеральный округ","Сельское население",Женщины
27,"Республика Адыгея","Городское и сельское население","Оба пола"
14,"Республика Адыгея","Городское и сельское население",Мужчины
13,"Республика Адыгея","Городское и сельское население",Женщины
23,"Республика Адыгея","Городское население","Оба пола"
12,"Республика Адыгея","Городское население",Мужчины
11,"Республика Адыгея","Городское население",Женщины
4,"Республика Адыгея","Сельское население","Оба пола"
2,"Республика Адыгея","Сельское население",Мужчины
2,"Республика Адыгея","Сельское население",Женщины
46,"Республика Калмыкия","Городское и сельское население","Оба пола"
17,"Республика Калмыкия","Городское и сельское население",Мужчины
29,"Республика Калмыкия","Городское и сельское население",Женщины
34,"Республика Калмыкия","Городское население","Оба пола"
12,"Республика Калмыкия","Городское население",Мужчины
22,"Республика Калмыкия","Городское население",Женщины
12,"Республика Калмыкия","Сельское население","Оба пола"
5,"Республика Калмыкия","Сельское население",Мужчины
7,"Республика Калмыкия","Сельское население",Женщины
98,"Краснодарский край","Городское и сельское население","Оба пола"
39,"Краснодарский край","Городское и сельское население",Мужчины
59,"Краснодарский край","Городское и сельское население",Женщины
59,"Краснодарский край","Городское население","Оба пола"
20,"Краснодарский край","Городское население",Мужчины
39,"Краснодарский край","Городское население",Женщины
39,"Краснодарский край","Сельское население","Оба пола"
19,"Краснодарский край","Сельское население",Мужчины
20,"Краснодарский край","Сельское население",Женщины
57,"Астраханская область","Городское и сельское население","Оба пола"
12,"Астраханская область","Городское и сельское население",Мужчины
45,"Астраханская область","Городское и сельское население",Женщины
50,"Астраханская область","Городское население","Оба пола"
10,"Астраханская область","Городское население",Мужчины
40,"Астраханская область","Городское население",Женщины
7,"Астраханская область","Сельское население","Оба пола"
2,"Астраханская область","Сельское население",Мужчины
5,"Астраханская область","Сельское население",Женщины
139,"Волгоградская область","Городское и сельское население","Оба пола"
63,"Волгоградская область","Городское и сельское население",Мужчины
76,"Волгоградская область","Городское и сельское население",Женщины
130,"Волгоградская область","Городское население","Оба пола"
57,"Волгоградская область","Городское население",Мужчины
73,"Волгоградская область","Городское население",Женщины
9,"Волгоградская область","Сельское население","Оба пола"
6,"Волгоградская область","Сельское население",Мужчины
3,"Волгоградская область","Сельское население",Женщины
206,"Ростовская область","Городское и сельское население","Оба пола"
78,"Ростовская область","Городское и сельское население",Мужчины
128,"Ростовская область","Городское и сельское население",Женщины
189,"Ростовская область","Городское население","Оба пола"
71,"Ростовская область","Городское население",Мужчины
118,"Ростовская область","Городское население",Женщины
17,"Ростовская область","Сельское население","Оба пола"
7,"Ростовская область","Сельское население",Мужчины
10,"Ростовская область","Сельское население",Женщины
711,"Северо-Кавказский федеральный округ","Городское и сельское население","Оба пола"
312,"Северо-Кавказский федеральный округ","Городское и сельское население",Мужчины
399,"Северо-Кавказский федеральный округ","Городское и сельское население",Женщины
471,"Северо-Кавказский федеральный округ","Городское население","Оба пола"
199,"Северо-Кавказский федеральный округ","Городское население",Мужчины
272,"Северо-Кавказский федеральный округ","Городское население",Женщины
240,"Северо-Кавказский федеральный округ","Сельское население","Оба пола"
113,"Северо-Кавказский федеральный округ","Сельское население",Мужчины
127,"Северо-Кавказский федеральный округ","Сельское население",Женщины
114,"Республика Дагестан","Городское и сельское население","Оба пола"
61,"Республика Дагестан","Городское и сельское население",Мужчины
53,"Республика Дагестан","Городское и сельское население",Женщины
40,"Республика Дагестан","Городское население","Оба пола"
16,"Республика Дагестан","Городское население",Мужчины
24,"Республика Дагестан","Городское население",Женщины
74,"Республика Дагестан","Сельское население","Оба пола"
45,"Республика Дагестан","Сельское население",Мужчины
29,"Республика Дагестан","Сельское население",Женщины
64,"Республика Ингушетия","Городское и сельское население","Оба пола"
28,"Республика Ингушетия","Городское и сельское население",Мужчины
36,"Республика Ингушетия","Городское и сельское население",Женщины
42,"Республика Ингушетия","Городское население","Оба пола"
19,"Республика Ингушетия","Городское население",Мужчины
23,"Республика Ингушетия","Городское население",Женщины
22,"Республика Ингушетия","Сельское население","Оба пола"
9,"Республика Ингушетия","Сельское население",Мужчины
13,"Республика Ингушетия","Сельское население",Женщины
265,"Кабардино-Балкарская Республика","Городское и сельское население","Оба пола"
115,"Кабардино-Балкарская Республика","Городское и сельское население",Мужчины
150,"Кабардино-Балкарская Республика","Городское и сельское население",Женщины
217,"Кабардино-Балкарская Республика","Городское население","Оба пола"
100,"Кабардино-Балкарская Республика","Городское население",Мужчины
117,"Кабардино-Балкарская Республика","Городское население",Женщины
48,"Кабардино-Балкарская Республика","Сельское население","Оба пола"
15,"Кабардино-Балкарская Республика","Сельское население",Мужчины
33,"Кабардино-Балкарская Республика","Сельское население",Женщины
28,"Карачаево-Черкесская Республика","Городское и сельское население","Оба пола"
11,"Карачаево-Черкесская Республика","Городское и сельское население",Мужчины
17,"Карачаево-Черкесская Республика","Городское и сельское население",Женщины
13,"Карачаево-Черкесская Республика","Городское население","Оба пола"
2,"Карачаево-Черкесская Республика","Городское население",Мужчины
11,"Карачаево-Черкесская Республика","Городское население",Женщины
15,"Карачаево-Черкесская Республика","Сельское население","Оба пола"
9,"Карачаево-Черкесская Республика","Сельское население",Мужчины
6,"Карачаево-Черкесская Республика","Сельское население",Женщины
108,"Республика Северная Осетия-Алания","Городское и сельское население","Оба пола"
48,"Республика Северная Осетия-Алания","Городское и сельское население",Мужчины
60,"Республика Северная Осетия-Алания","Городское и сельское население",Женщины
104,"Республика Северная Осетия-Алания","Городское население","Оба пола"
45,"Республика Северная Осетия-Алания","Городское население",Мужчины
59,"Республика Северная Осетия-Алания","Городское население",Женщины
4,"Республика Северная Осетия-Алания","Сельское население","Оба пола"
3,"Республика Северная Осетия-Алания","Сельское население",Мужчины
1,"Республика Северная Осетия-Алания","Сельское население",Женщины
29,"Чеченская Республика","Городское и сельское население","Оба пола"
14,"Чеченская Республика","Городское и сельское население",Мужчины
15,"Чеченская Республика","Городское и сельское население",Женщины
14,"Чеченская Республика","Городское население","Оба пола"
4,"Чеченская Республика","Городское население",Мужчины
10,"Чеченская Республика","Городское население",Женщины
15,"Чеченская Республика","Сельское население","Оба пола"
10,"Чеченская Республика","Сельское население",Мужчины
5,"Чеченская Республика","Сельское население",Женщины
103,"Ставропольский край","Городское и сельское население","Оба пола"
35,"Ставропольский край","Городское и сельское население",Мужчины
68,"Ставропольский край","Городское и сельское население",Женщины
41,"Ставропольский край","Городское население","Оба пола"
13,"Ставропольский край","Городское население",Мужчины
28,"Ставропольский край","Городское население",Женщины
62,"Ставропольский край","Сельское население","Оба пола"
22,"Ставропольский край","Сельское население",Мужчины
40,"Ставропольский край","Сельское население",Женщины
852,"Приволжский федеральный округ","Городское и сельское население","Оба пола"
346,"Приволжский федеральный округ","Городское и сельское население",Мужчины
506,"Приволжский федеральный округ","Городское и сельское население",Женщины
680,"Приволжский федеральный округ","Городское население","Оба пола"
281,"Приволжский федеральный округ","Городское население",Мужчины
399,"Приволжский федеральный округ","Городское население",Женщины
172,"Приволжский федеральный округ","Сельское население","Оба пола"
65,"Приволжский федеральный округ","Сельское население",Мужчины
107,"Приволжский федеральный округ","Сельское население",Женщины
95,"Республика Башкортостан","Городское и сельское население","Оба пола"
42,"Республика Башкортостан","Городское и сельское население",Мужчины
53,"Республика Башкортостан","Городское и сельское население",Женщины
76,"Республика Башкортостан","Городское население","Оба пола"
36,"Республика Башкортостан","Городское население",Мужчины
40,"Республика Башкортостан","Городское население",Женщины
19,"Республика Башкортостан","Сельское население","Оба пола"
6,"Республика Башкортостан","Сельское население",Мужчины
13,"Республика Башкортостан","Сельское население",Женщины
28,"Республика Марий Эл","Городское и сельское население","Оба пола"
10,"Республика Марий Эл","Городское и сельское население",Мужчины
18,"Республика Марий Эл","Городское и сельское население",Женщины
20,"Республика Марий Эл","Городское население","Оба пола"
8,"Республика Марий Эл","Городское население",Мужчины
12,"Республика Марий Эл","Городское население",Женщины
8,"Республика Марий Эл","Сельское население","Оба пола"
2,"Республика Марий Эл","Сельское население",Мужчины
6,"Республика Марий Эл","Сельское население",Женщины
26,"Республика Мордовия","Городское и сельское население","Оба пола"
14,"Республика Мордовия","Городское и сельское население",Мужчины
12,"Республика Мордовия","Городское и сельское население",Женщины
14,"Республика Мордовия","Городское население","Оба пола"
7,"Республика Мордовия","Городское население",Мужчины
7,"Республика Мордовия","Городское население",Женщины
12,"Республика Мордовия","Сельское население","Оба пола"
7,"Республика Мордовия","Сельское население",Мужчины
5,"Республика Мордовия","Сельское население",Женщины
72,"Республика Татарстан","Городское и сельское население","Оба пола"
30,"Республика Татарстан","Городское и сельское население",Мужчины
42,"Республика Татарстан","Городское и сельское население",Женщины
64,"Республика Татарстан","Городское население","Оба пола"
27,"Республика Татарстан","Городское население",Мужчины
37,"Республика Татарстан","Городское население",Женщины
8,"Республика Татарстан","Сельское население","Оба пола"
3,"Республика Татарстан","Сельское население",Мужчины
5,"Республика Татарстан","Сельское население",Женщины
66,"Удмуртская Республика","Городское и сельское население","Оба пола"
28,"Удмуртская Республика","Городское и сельское население",Мужчины
38,"Удмуртская Республика","Городское и сельское население",Женщины
52,"Удмуртская Республика","Городское население","Оба пола"
26,"Удмуртская Республика","Городское население",Мужчины
26,"Удмуртская Республика","Городское население",Женщины
14,"Удмуртская Республика","Сельское население","Оба пола"
2,"Удмуртская Республика","Сельское население",Мужчины
12,"Удмуртская Республика","Сельское население",Женщины
27,"Чувашская Республика","Городское и сельское население","Оба пола"
9,"Чувашская Республика","Городское и сельское население",Мужчины
18,"Чувашская Республика","Городское и сельское население",Женщины
26,"Чувашская Республика","Городское население","Оба пола"
9,"Чувашская Республика","Городское население",Мужчины
17,"Чувашская Республика","Городское население",Женщины
1,"Чувашская Республика","Сельское население","Оба пола"
-,"Чувашская Республика","Сельское население",Мужчины
1,"Чувашская Республика","Сельское население",Женщины
58,"Пермский край ","Городское и сельское население","Оба пола"
27,"Пермский край ","Городское и сельское население",Мужчины
31,"Пермский край ","Городское и сельское население",Женщины
48,"Пермский край ","Городское население","Оба пола"
22,"Пермский край ","Городское население",Мужчины
26,"Пермский край ","Городское население",Женщины
10,"Пермский край ","Сельское население","Оба пола"
5,"Пермский край ","Сельское население",Мужчины
5,"Пермский край ","Сельское население",Женщины
19,"Кировская область","Городское и сельское население","Оба пола"
6,"Кировская область","Городское и сельское население",Мужчины
13,"Кировская область","Городское и сельское население",Женщины
15,"Кировская область","Городское население","Оба пола"
5,"Кировская область","Городское население",Мужчины
10,"Кировская область","Городское население",Женщины
4,"Кировская область","Сельское население","Оба пола"
1,"Кировская область","Сельское население",Мужчины
3,"Кировская область","Сельское население",Женщины
97,"Нижегородская область","Городское и сельское население","Оба пола"
37,"Нижегородская область","Городское и сельское население",Мужчины
60,"Нижегородская область","Городское и сельское население",Женщины
88,"Нижегородская область","Городское население","Оба пола"
33,"Нижегородская область","Городское население",Мужчины
55,"Нижегородская область","Городское население",Женщины
9,"Нижегородская область","Сельское население","Оба пола"
4,"Нижегородская область","Сельское население",Мужчины
5,"Нижегородская область","Сельское население",Женщины
43,"Оренбургская область","Городское и сельское население","Оба пола"
16,"Оренбургская область","Городское и сельское население",Мужчины
27,"Оренбургская область","Городское и сельское население",Женщины
28,"Оренбургская область","Городское население","Оба пола"
13,"Оренбургская область","Городское население",Мужчины
15,"Оренбургская область","Городское население",Женщины
15,"Оренбургская область","Сельское население","Оба пола"
3,"Оренбургская область","Сельское население",Мужчины
12,"Оренбургская область","Сельское население",Женщины
77,"Пензенская область","Городское и сельское население","Оба пола"
37,"Пензенская область","Городское и сельское население",Мужчины
40,"Пензенская область","Городское и сельское население",Женщины
29,"Пензенская область","Городское население","Оба пола"
13,"Пензенская область","Городское население",Мужчины
16,"Пензенская область","Городское население",Женщины
48,"Пензенская область","Сельское население","Оба пола"
24,"Пензенская область","Сельское население",Мужчины
24,"Пензенская область","Сельское население",Женщины
85,"Самарская область","Городское и сельское население","Оба пола"
37,"Самарская область","Городское и сельское население",Мужчины
48,"Самарская область","Городское и сельское население",Женщины
71,"Самарская область","Городское население","Оба пола"
31,"Самарская область","Городское население",Мужчины
40,"Самарская область","Городское население",Женщины
14,"Самарская область","Сельское население","Оба пола"
6,"Самарская область","Сельское население",Мужчины
8,"Самарская область","Сельское население",Женщины
131,"Саратовская область","Городское и сельское население","Оба пола"
44,"Саратовская область","Городское и сельское население",Мужчины
87,"Саратовская область","Городское и сельское население",Женщины
125,"Саратовская область","Городское население","Оба пола"
43,"Саратовская область","Городское население",Мужчины
82,"Саратовская область","Городское население",Женщины
6,"Саратовская область","Сельское население","Оба пола"
1,"Саратовская область","Сельское население",Мужчины
5,"Саратовская область","Сельское население",Женщины
28,"Ульяновская область","Городское и сельское население","Оба пола"
9,"Ульяновская область","Городское и сельское население",Мужчины
19,"Ульяновская область","Городское и сельское население",Женщины
24,"Ульяновская область","Городское население","Оба пола"
8,"Ульяновская область","Городское население",Мужчины
16,"Ульяновская область","Городское население",Женщины
4,"Ульяновская область","Сельское население","Оба пола"
1,"Ульяновская область","Сельское население",Мужчины
3,"Ульяновская область","Сельское население",Женщины
471,"Уральский федеральный округ","Городское и сельское население","Оба пола"
190,"Уральский федеральный округ","Городское и сельское население",Мужчины
281,"Уральский федеральный округ","Городское и сельское население",Женщины
362,"Уральский федеральный округ","Городское население","Оба пола"
146,"Уральский федеральный округ","Городское население",Мужчины
216,"Уральский федеральный округ","Городское население",Женщины
109,"Уральский федеральный округ","Сельское население","Оба пола"
44,"Уральский федеральный округ","Сельское население",Мужчины
65,"Уральский федеральный округ","Сельское население",Женщины
23,"Курганская область","Городское и сельское население","Оба пола"
10,"Курганская область","Городское и сельское население",Мужчины
13,"Курганская область","Городское и сельское население",Женщины
21,"Курганская область","Городское население","Оба пола"
10,"Курганская область","Городское население",Мужчины
11,"Курганская область","Городское население",Женщины
2,"Курганская область","Сельское население","Оба пола"
-,"Курганская область","Сельское население",Мужчины
2,"Курганская область","Сельское население",Женщины
157,"Свердловская область","Городское и сельское население","Оба пола"
62,"Свердловская область","Городское и сельское население",Мужчины
95,"Свердловская область","Городское и сельское население",Женщины
126,"Свердловская область","Городское население","Оба пола"
52,"Свердловская область","Городское население",Мужчины
74,"Свердловская область","Городское население",Женщины
31,"Свердловская область","Сельское население","Оба пола"
10,"Свердловская область","Сельское население",Мужчины
21,"Свердловская область","Сельское население",Женщины
