"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2022 г.)"
"Брянская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-90
"Брянская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Брянская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-90,91"
"Брянская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,29"
"Владимирская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",16254
"Владимирская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4519
"Владимирская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",816
"Владимирская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8730
"Владимирская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1897
"Владимирская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",480
"Владимирская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-66,73"
"Владимирская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-21,11"
"Владимирская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-95,45"
"Владимирская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-96,61"
"Владимирская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-94,85"
"Владимирская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,46"
"Воронежская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",30460
"Воронежская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",7716
"Воронежская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1431
"Воронежская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",13541
"Воронежская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",3086
"Воронежская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",849
"Воронежская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-20,4"
"Воронежская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","59,79"
"Воронежская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-93,33"
"Воронежская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-94,92"
"Воронежская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-93
"Воронежская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,4"
"Ивановская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11791
"Ивановская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2946
"Ивановская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",531
"Ивановская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7247
"Ивановская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1575
"Ивановская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",343
"Ивановская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-54,54"
"Ивановская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-17,97"
"Ивановская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Ивановская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-95,24"
"Ивановская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-89,47"
"Ивановская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,63"
"Калужская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",14656
"Калужская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4289
"Калужская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",666
"Калужская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7681
"Калужская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2239
"Калужская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",481
"Калужская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","32,31"
"Калужская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","11,19"
"Калужская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-92,31"
"Калужская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-97,5"
"Калужская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-96,83"
"Калужская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,47"
"Костромская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",8188
"Костромская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2397
"Костромская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",406
"Костромская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",4450
"Костромская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1063
"Костромская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",254
"Костромская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","7,32"
"Костромская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","143,81"
"Костромская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-50
"Костромская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Костромская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-75
"Костромская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,44"
"Курская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",13448
"Курская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3645
"Курская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",900
"Курская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7856
"Курская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1737
"Курская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",622
"Курская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-22,98"
"Курская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","98,29"
"Курская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-33,33"
"Курская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-94,74"
"Курская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-92,31"
"Курская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,33"
"Липецкая область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",13940
"Липецкая область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3388
"Липецкая область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",902
"Липецкая область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7240
"Липецкая область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1260
"Липецкая область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",306
"Липецкая область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-31,02"
"Липецкая область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","97,92"
"Липецкая область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-33,33"
"Липецкая область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-88,89"
"Липецкая область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Липецкая область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,42"
"г. Москва","3_4","Количество преступлений, зарегистрированных в отчетном периоде",138180
"г. Москва","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",47288
"г. Москва","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",10709
"г. Москва","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",44994
"г. Москва","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",17829
"г. Москва","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",8115
"г. Москва","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-60,19"
"г. Москва","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-5,26"
"г. Москва","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-88,15"
"г. Москва","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-98,62"
"г. Москва","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,57"
"г. Москва","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,09"
